Sl.No,Institute Name,2015 - SC,2015 - ST,2015 - OBC,2015 - Total No. of Admitted Student,2016 - SC,2016 - ST,2016 - OBC,2016 - Total No. of Admitted Student,2017 - SC,2017 - ST,2017 - OBC,2017 - Total No. of Admitted Student,2018 - SC,2018 - ST,2018 - OBC,2018 - Total No. of Admitted Student,2019 - SC,2019 - ST,2019 - OBC,2019 - Total No. of Admitted Student
1,IIT (ISM) Dhanbad,41,16,70,267,37,11,79,241,48,14,90,339,20,5,42,144,27,3,58,163
2,IIT Roorkee,42,9,102,400,36,5,91,352,56,11,138,480,65,9,160,633,50,12,107,503
3,IIT Bhilai,0,0,0,0,0,0,0,0,2,3,4,6,3,0,17,29,2,5,5,20
4,IIT BHU (Varanasi),30,4,73,204,31,8,65,203,35,6,103,292,35,3,93,273,37,8,96,276
5,IIT Bombay,57,11,75,536,40,14,105,575,40,6,119,578,49,9,112,532,49,7,132,656
6,IIT Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,2,0,13,43
7,IIT Gandhinagar,4,2,12,88,0,0,7,59,9,0,19,87,3,2,19,112,6,1,19,138
8,IIT Hyderabad,8,1,21,65,11,2,19,77,10,3,26,94,7,0,21,60,3,3,16,46
9,IIT Jodhpur,2,0,9,41,3,0,6,20,0,0,5,19,3,0,14,46,11,7,42,175
10,IIT Mandi,3,1,17,47,8,0,16,60,4,0,11,47,4,0,6,56,3,2,20,72
11,IIT Guwahati,53,32,91,404,53,23,69,384,47,21,84,361,40,24,73,375,46,30,79,359
12,IIT Patna,6,0,30,92,5,2,41,122,6,0,33,100,8,2,48,142,5,0,26,105
13,IIT Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,48
14,IIT Dharwad,0,0,0,0,0,0,0,0,0,0,1,5,1,1,4,20,0,0,8,21
15,IIT Indore,5,0,23,116,6,0,17,83,4,1,24,111,6,0,24,83,10,2,51,183
16,IIT Palakkad,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,28,2,0,8,26
17,IIT Kanpur,20,4,56,283,26,1,73,320,19,2,68,294,25,3,94,356,34,1,90,400
18,IIT Delhi,45,5,84,507,30,5,72,543,40,12,116,647,43,10,101,645,47,5,108,739
19,IIT Madras,52,8,299,988,40,4,216,798,34,9,211,713,68,7,198,717,52,24,155,658
20,IIT Ropar,2,0,9,59,4,1,13,85,7,1,23,130,3,0,23,137,10,3,33,179
21,IIT Kharagpur,58,6,89,542,71,16,109,549,68,14,121,593,84,17,131,633,106,15,166,740
22,IIT Bhubaneshwar,5,2,16,58,11,1,18,61,5,1,15,51,8,3,18,90,5,4,16,63
23,IIT Tirupati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,31,46
